event_id	ss_player_id	order_idx	formation
12436443	827679	2	4-2-3-1
12436443	976263	4	4-2-3-1
12436443	826204	5	4-2-3-1
12436443	923973	6	4-2-3-1
12436443	948261	7	4-2-3-1
12436443	331737	8	4-2-3-1
12450187	930245	9	3-4-2-1
12450941	930245	7	4-2-3-1
12450958	930245	9	3-4-3
12450985	930245	8	3-4-2-1
12450986	930245	10	3-4-3
12451024	930245	8	3-4-2-1
13981677	996919	9	3-4-2-1
14023927	976263	4	4-2-3-1
14023927	1089388	5	4-2-3-1
14023927	331737	6	4-2-3-1
14023927	948261	9	4-2-3-1
14023928	827679	2	4-2-3-1
14023928	96538	4	4-2-3-1
14023928	331737	6	4-2-3-1
14023928	250223	7	4-2-3-1
14023928	948261	8	4-2-3-1
14023928	783126	9	4-2-3-1
14023929	827679	2	4-2-3-1
14023929	976263	4	4-2-3-1
14023929	331737	6	4-2-3-1
14023929	250223	7	4-2-3-1
14023929	948261	9	4-2-3-1
14023961	976263	4	4-2-3-1
14023961	1089388	5	4-2-3-1
14023961	783126	9	4-2-3-1
14023979	827679	2	4-2-3-1
14023979	96538	4	4-2-3-1
14023979	923973	5	4-2-3-1
14023979	948261	8	4-2-3-1
14023979	783126	9	4-2-3-1
14023981	930245	9	3-4-2-1
14023986	827679	2	4-2-3-1
14023986	976263	4	4-2-3-1
14023986	923973	5	4-2-3-1
14023986	783126	8	4-2-3-1
14023986	948261	9	4-2-3-1
14023991	930245	9	3-4-2-1
14023994	1089388	1	4-2-3-1
14023994	827679	2	4-2-3-1
14023994	96538	4	4-2-3-1
14023994	923973	5	4-2-3-1
14023994	948261	7	4-2-3-1
14023994	250223	8	4-2-3-1
14023994	783126	9	4-2-3-1
14024004	827679	2	4-2-3-1
14024004	96538	4	4-2-3-1
14024004	1089388	5	4-2-3-1
14024004	331737	6	4-2-3-1
14024004	250223	7	4-2-3-1
14024004	948261	8	4-2-3-1
14024004	783126	9	4-2-3-1
14024014	827679	2	4-2-3-1
14024014	96538	4	4-2-3-1
14024014	923973	5	4-2-3-1
14024014	250223	8	4-2-3-1
14024014	948261	9	4-2-3-1
14025014	827679	2	4-4-2
14025014	96538	4	4-4-2
14025014	250223	5	4-4-2
14025014	826204	6	4-4-2
14025014	923973	7	4-4-2
14025014	783126	8	4-4-2
14025014	948261	9	4-4-2
14025016	827679	2	4-2-3-1
14025016	96538	4	4-2-3-1
14025016	826204	5	4-2-3-1
14025016	923973	6	4-2-3-1
14025016	250223	7	4-2-3-1
14025016	331737	8	4-2-3-1
14025016	948261	9	4-2-3-1
14025025	96538	4	4-2-3-1
14025025	923973	5	4-2-3-1
14025025	331737	6	4-2-3-1
14025025	250223	7	4-2-3-1
14025025	948261	9	4-2-3-1
14025030	827679	2	4-2-3-1
14025030	976263	4	4-2-3-1
14025030	923973	5	4-2-3-1
14025030	331737	6	4-2-3-1
14025030	250223	7	4-2-3-1
14025030	948261	9	4-2-3-1
14025058	827679	2	4-2-3-1
14025058	96538	4	4-2-3-1
14025058	826204	5	4-2-3-1
14025058	331737	6	4-2-3-1
14025058	250223	8	4-2-3-1
14025058	948261	9	4-2-3-1
14025064	827679	2	4-2-3-1
14025064	976263	4	4-2-3-1
14025064	1089388	5	4-2-3-1
14025064	331737	6	4-2-3-1
14025064	250223	7	4-2-3-1
14025064	948261	8	4-2-3-1
14025064	783126	9	4-2-3-1
14025068	96538	4	4-2-3-1
14025068	826204	5	4-2-3-1
14025068	923973	6	4-2-3-1
14025068	250223	7	4-2-3-1
14025068	331737	8	4-2-3-1
14025068	948261	9	4-2-3-1
14025078	827679	2	4-4-2
14025078	96538	4	4-4-2
14025078	250223	5	4-4-2
14025078	826204	6	4-4-2
14025078	331737	7	4-4-2
14025078	783126	8	4-4-2
14025078	948261	9	4-4-2
14025091	827679	2	4-2-3-1
14025091	976263	4	4-2-3-1
14025091	250223	5	4-2-3-1
14025091	331737	6	4-2-3-1
14025091	948261	8	4-2-3-1
14025091	930245	9	4-2-3-1
14025093	827679	2	4-2-3-1
14025093	96538	4	4-2-3-1
14025093	826204	5	4-2-3-1
14025093	331737	6	4-2-3-1
14025093	250223	7	4-2-3-1
14025093	948261	8	4-2-3-1
14025093	783126	9	4-2-3-1
14025119	827679	2	4-2-3-1
14025119	976263	4	4-2-3-1
14025119	923973	5	4-2-3-1
14025119	331737	6	4-2-3-1
14025119	948261	8	4-2-3-1
14025119	783126	9	4-2-3-1
14025125	827679	2	4-2-3-1
14025125	976263	4	4-2-3-1
14025125	1089388	6	4-2-3-1
14025125	948261	8	4-2-3-1
14025125	783126	9	4-2-3-1
14025129	827679	2	4-2-3-1
14025129	976263	4	4-2-3-1
14025129	826204	5	4-2-3-1
14025129	923973	6	4-2-3-1
14025129	930245	7	4-2-3-1
14025129	250223	8	4-2-3-1
14025129	948261	9	4-2-3-1
14025136	827679	2	4-2-3-1
14025136	96538	4	4-2-3-1
14025136	1089388	5	4-2-3-1
14025136	331737	6	4-2-3-1
14025136	250223	7	4-2-3-1
14025136	948261	8	4-2-3-1
14025136	783126	9	4-2-3-1
14025155	827679	2	4-2-3-1
14025155	96538	4	4-2-3-1
14025155	923973	5	4-2-3-1
14025155	948261	8	4-2-3-1
14025155	783126	9	4-2-3-1
14025156	827679	2	4-2-3-1
14025156	976263	4	4-2-3-1
14025156	826204	5	4-2-3-1
14025156	923973	6	4-2-3-1
14025156	250223	7	4-2-3-1
14025156	331737	8	4-2-3-1
14025156	948261	9	4-2-3-1
14025172	827679	2	4-2-3-1
14025172	96538	4	4-2-3-1
14025172	250223	5	4-2-3-1
14025172	826204	6	4-2-3-1
14025172	930245	7	4-2-3-1
14025172	948261	8	4-2-3-1
14025172	783126	9	4-2-3-1
14025181	827679	2	4-2-3-1
14025181	96538	4	4-2-3-1
14025181	250223	5	4-2-3-1
14025181	1089388	6	4-2-3-1
14025181	930245	7	4-2-3-1
14025181	948261	9	4-2-3-1
14025206	1089388	1	4-2-3-1
14025206	827679	2	4-2-3-1
14025206	976263	4	4-2-3-1
14025206	923973	5	4-2-3-1
14025206	948261	8	4-2-3-1
14025206	783126	9	4-2-3-1
14025209	930245	9	3-4-2-1
14025210	827679	2	4-2-3-1
14025210	976263	4	4-2-3-1
14025210	826204	5	4-2-3-1
14025210	923973	6	4-2-3-1
14025210	250223	7	4-2-3-1
14025210	331737	8	4-2-3-1
14025210	948261	9	4-2-3-1
14025215	827679	2	4-2-3-1
14025215	976263	4	4-2-3-1
14025215	923973	5	4-2-3-1
14025215	948261	8	4-2-3-1
14025215	783126	9	4-2-3-1
14025216	827679	2	4-2-3-1
14025216	976263	4	4-2-3-1
14025216	826204	5	4-2-3-1
14025216	923973	6	4-2-3-1
14025216	250223	7	4-2-3-1
14025216	331737	8	4-2-3-1
14025216	948261	9	4-2-3-1
14025217	827679	2	4-2-2-2
14025217	96538	4	4-2-2-2
14025217	1089388	5	4-2-2-2
14025217	826204	6	4-2-2-2
14025217	250223	7	4-2-2-2
14025217	948261	8	4-2-2-2
14025240	827679	2	4-4-2
14025240	976263	4	4-4-2
14025240	250223	5	4-4-2
14025240	826204	6	4-4-2
14025240	331737	7	4-4-2
14025240	783126	8	4-4-2
14025240	948261	10	4-4-2
14025249	827679	2	4-2-3-1
14025249	96538	4	4-2-3-1
14025249	826204	5	4-2-3-1
14025249	923973	6	4-2-3-1
14025249	930245	7	4-2-3-1
14025249	948261	8	4-2-3-1
14025249	250223	9	4-2-3-1
14025254	1089388	1	4-2-3-1
14025254	827679	2	4-2-3-1
14025254	96538	4	4-2-3-1
14025254	923973	5	4-2-3-1
14025254	331737	6	4-2-3-1
14025254	948261	8	4-2-3-1
14025254	783126	9	4-2-3-1
14025257	827679	2	4-2-3-1
14025257	96538	4	4-2-3-1
14025257	826204	5	4-2-3-1
14025257	923973	6	4-2-3-1
14025257	250223	7	4-2-3-1
14025257	948261	8	4-2-3-1
14025257	783126	9	4-2-3-1
14025276	827679	2	4-2-3-1
14025276	976263	4	4-2-3-1
14025276	826204	5	4-2-3-1
14025276	331737	6	4-2-3-1
14025276	250223	7	4-2-3-1
14025276	948261	8	4-2-3-1
14025276	783126	9	4-2-3-1
14025281	827679	2	4-2-3-1
14025281	96538	4	4-2-3-1
14025281	826204	5	4-2-3-1
14025281	923973	6	4-2-3-1
14025281	930245	7	4-2-3-1
14025281	948261	8	4-2-3-1
14025281	250223	9	4-2-3-1
14059540	996919	5	4-4-2
14059552	996919	7	4-2-3-1
14059576	996919	7	4-2-3-1
14059585	996919	7	4-2-3-1
14059594	996919	7	4-2-3-1
14059612	996919	7	4-2-3-1
14059617	996919	4	3-4-2-1
14059671	996919	7	4-2-3-1
14059690	996919	7	4-2-3-1
14059742	996919	7	4-2-3-1
14059752	996919	7	4-2-3-1
14059778	996919	5	5-4-1
14059787	996919	7	3-4-2-1
14059814	996919	7	3-4-2-1
14062138	1152923	1	4-3-3
14062143	1152923	1	4-3-3
14065167	1152923	1	4-3-3
14572642	827679	2	4-2-3-1
14572642	976263	4	4-2-3-1
14572642	250223	5	4-2-3-1
14572642	826204	6	4-2-3-1
14572642	930245	7	4-2-3-1
14572642	948261	8	4-2-3-1
14572642	783126	9	4-2-3-1
14572676	1089388	1	4-2-3-1
14572676	96538	4	4-2-3-1
14572676	923973	5	4-2-3-1
14572676	1398204	6	4-2-3-1
14572676	783126	9	4-2-3-1
14572677	827679	2	4-2-3-1
14572677	976263	4	4-2-3-1
14572677	1089388	5	4-2-3-1
14572677	923973	6	4-2-3-1
14572677	930245	7	4-2-3-1
14572677	948261	8	4-2-3-1
14572678	1089388	1	4-2-3-1
14572678	976263	4	4-2-3-1
14572678	923973	5	4-2-3-1
14572678	331737	6	4-2-3-1
14572678	930245	7	4-2-3-1
14572678	948261	8	4-2-3-1
14572679	827679	2	4-2-3-1
14572679	976263	4	4-2-3-1
14572679	250223	5	4-2-3-1
14572679	826204	6	4-2-3-1
14572679	930245	7	4-2-3-1
14572679	948261	8	4-2-3-1
14572679	783126	9	4-2-3-1
14572701	96538	4	4-2-3-1
14572701	1089388	5	4-2-3-1
14572701	331737	6	4-2-3-1
14572701	948261	8	4-2-3-1
14572701	783126	9	4-2-3-1
14572748	827679	2	4-2-3-1
14572748	96538	4	4-2-3-1
14572748	1089388	5	4-2-3-1
14572748	923973	6	4-2-3-1
14572748	930245	7	4-2-3-1
14572748	783126	8	4-2-3-1
14572811	976263	4	4-2-3-1
14572811	1089388	5	4-2-3-1
14572811	923973	6	4-2-3-1
14572811	930245	7	4-2-3-1
14572811	783126	8	4-2-3-1
14598940	827679	2	4-2-3-1
14598940	976263	4	4-2-3-1
14598940	250223	5	4-2-3-1
14598940	1089388	6	4-2-3-1
14598940	930245	7	4-2-3-1
15197271	827679	2	4-2-3-1
15197271	976263	4	4-2-3-1
15197271	826204	5	4-2-3-1
15197271	1089388	6	4-2-3-1
15197271	250223	7	4-2-3-1
15197271	948261	8	4-2-3-1
15197271	783126	9	4-2-3-1
15359735	1089388	1	4-2-3-1
15359735	96538	4	4-2-3-1
15359735	923973	5	4-2-3-1
15359735	948261	9	4-2-3-1
15380228	930245	10	3-4-3
15631836	1089388	1	4-2-3-1
15631836	827679	2	4-2-3-1
15631836	96538	4	4-2-3-1
15631836	923973	6	4-2-3-1
15631836	948261	8	4-2-3-1
15631836	783126	9	4-2-3-1
15631843	1089388	1	4-2-3-1
15631843	976263	4	4-2-3-1
15631843	923973	5	4-2-3-1
15631843	948261	8	4-2-3-1
15631843	250223	9	4-2-3-1
15632045	930245	10	3-4-3
15632053	930245	10	3-4-3
15632617	827679	2	4-2-3-1
15632617	96538	4	4-2-3-1
15632617	923973	5	4-2-3-1
15632617	331737	6	4-2-3-1
15632617	250223	7	4-2-3-1
15632617	948261	8	4-2-3-1
15632617	783126	9	4-2-3-1
15632621	827679	2	4-2-3-1
15632621	96538	4	4-2-3-1
15632621	923973	5	4-2-3-1
15632621	331737	6	4-2-3-1
15632621	250223	7	4-2-3-1
15632621	948261	8	4-2-3-1
15632621	783126	9	4-2-3-1
15632623	827679	2	4-2-3-1
15632623	96538	4	4-2-3-1
15632623	923973	5	4-2-3-1
15632623	331737	6	4-2-3-1
15632623	250223	7	4-2-3-1
15632623	948261	8	4-2-3-1
15632623	783126	9	4-2-3-1
15632625	827679	2	4-2-3-1
15632625	96538	4	4-2-3-1
15632625	331737	6	4-2-3-1
15632625	250223	7	4-2-3-1
15632625	948261	8	4-2-3-1
15632625	783126	9	4-2-3-1
15632626	827679	2	4-2-3-1
15632626	96538	4	4-2-3-1
15632626	331737	6	4-2-3-1
15632626	250223	7	4-2-3-1
15632626	948261	8	4-2-3-1
15632626	783126	9	4-2-3-1
15632638	930245	10	3-4-3
