event_id	ss_player_id	order_idx	gdmf	minutes	rating	avg_x	avg_y	formation
12436443	833956	1	D	90	6.8	30.4	17.6	4-2-3-1
12436443	555386	10	F	80	7.3	53.2	57.2	4-2-3-1
14023927	833956	1	D	90	7	39.6	14.1	4-2-3-1
14023927	555386	-1	F	30	6.5	74.5	70.4	4-2-3-1
14023928	833956	1	D	90	6.3	43.1	18.1	4-2-3-1
14023928	555386	10	F	90	8.2	72.2	52.9	4-2-3-1
14023929	833956	1	D	80	5.7	56.4	18.8	4-2-3-1
14023929	555386	10	F	90	7.1	71.2	48.7	4-2-3-1
14023961	555386	10	F	90	9.2	66.7	62	4-2-3-1
14023961	833956	-1	D	45	6.7	46.3	10.5	4-2-3-1
14023979	833956	1	D	90	6.5	49.1	14.9	4-2-3-1
14023979	555386	10	F	86	6.2	58.8	64.2	4-2-3-1
14023986	833956	1	D	45	5.8	43.1	15.2	4-2-3-1
14023986	555386	10	F	71	6.6	59.4	59.6	4-2-3-1
14023994	555386	10	F	60	6.3	63.3	63.3	4-2-3-1
14024004	833956	1	D	90	6.4	46	12.9	4-2-3-1
14024004	555386	10	F	80	6.4	65.8	63.4	4-2-3-1
14024014	833956	1	D	90	7.3	54.7	16.9	4-2-3-1
14024014	555386	10	F	87	7.3	63.8	61.5	4-2-3-1
14025014	833956	1	D	90	6.7	45.3	16.3	4-4-2
14025014	555386	10	F	81	6.6	71.2	65	4-4-2
14025016	833956	1	D	90	7.6	41.7	22	4-2-3-1
14025016	555386	10	F	90	6.7	59.7	59.5	4-2-3-1
14025025	833956	1	D	89	6.4	52.4	14.7	4-2-3-1
14025025	555386	10	F	87	6	53	58.3	4-2-3-1
14025030	833956	1	D	90	6.3	43.7	15.2	4-2-3-1
14025030	555386	10	F	80	8.7	65.8	63.2	4-2-3-1
14025058	833956	1	D	90	7.6	48.3	18.6	4-2-3-1
14025058	555386	10	F	90	6.7	68.8	57.3	4-2-3-1
14025064	833956	1	D	90	7	47.9	18.3	4-2-3-1
14025064	555386	10	F	90	6.1	66.2	59.6	4-2-3-1
14025068	833956	1	D	90	6.8	53.2	23.7	4-2-3-1
14025068	555386	10	F	90	6.5	70.4	55.4	4-2-3-1
14025078	833956	1	D	90	6.8	41.8	15.5	4-4-2
14025078	555386	10	F	68	6.4	72.8	62.8	4-4-2
